Powtorzenia: 
Name IDC_NAZWAPLIKU                        	ID: 27030-75
Name IDC_I_CFIEXCEL                        	ID: 1034-54
Name IDC_I_CFICSV                          	ID: 27054-51
Name IDC_CSV_PARAMS                        	ID: 27058-51
Name IDC_C_OSTRANS                         	ID: 2063-47
Name IDC_C_BLADPRZER                       	ID: 2064-47
Name IDC_EX_POMIN                          	ID: 1033-14
Name IDC_EX_ACTUALIZE                      	ID: 1035-14
Name IDC_MAP_KOD                           	ID: 1026-13
Name IDC_LISTA                             	ID: 2075-11
Name IDC_PRINT                             	ID: 13-10
Name IDC_TMG_IDMAGAZYNU                    	ID: 1522-9
Name IDC_C_WARTDOW                         	ID: 1024-7
Name IDC_FUNKCJE                           	ID: 3780-7
Name IDC_I_CFIXMLEM                        	ID: 1037-6
Name IDC_BK_IDBANKU                        	ID: 5094-6
Name IDD_UPUSTY_IMPORT                     	ID: 277-5
Name IDD_KONTRAHENCI_IMPORT                	ID: 1425-5
Name IDD_NORMATYWOW_IMPORT                 	ID: 1431-5
Name IDD_PLANKONT_IMPORT                   	ID: 1434-5
Name IDD_ROZRACHUNKI_IMPORT                	ID: 1436-5
Name IDD_TABLE_IMPORT                      	ID: 1439-5
Name IDD_ZAMIENNIKI_IMPORT                 	ID: 1443-5
Name IDD_CENNIK_IMPORT                     	ID: 1449-5
Name IDD_SRODKI_TRWALE_IMPORT              	ID: 1453-5
Name IDD_HISTORIA_SPRZEDAZY_IMPORT         	ID: 1454-5
Name IDD_IMPORT_KSIEGOWANIA                	ID: 1458-5
Name IDD_RECEPTURY_IMPORT                  	ID: 1464-5
Name IDD_JEDNOSTKIALKT_IMPORT              	ID: 1465-5
Name IDD_LUDZIEKLIENTA_IMPORT              	ID: 2222-5
Name IDD_CZZAMIENNE_IMPORT                 	ID: 2244-5
Name IDC_I_PROCADXML                       	ID: 27055-5
Name IDC_CERTYFIKAT                        	ID: 27125-5
Name IDD_IMPORT_KATALOG_PRZYNALEZNOSCI     	ID: 27292-5
Name IDC_MULTI                             	ID: 1017-4
Name IDC_FORMAT                            	ID: 1019-4
Name IDC_MASKIMPORT                        	ID: 1024-4
Name IDC_ILEDNI                            	ID: 1025-4
Name IDC_ILEDNIP                           	ID: 1026-4
Name IDC_MASKIMPORTP                       	ID: 1027-4
Name IDC_BEZ_WPLAT                         	ID: 1055-4
Name IDC_BEZ_WYPLAT                        	ID: 1056-4
Name IDC_TGC_IDGRUPY                       	ID: 1111-4
Name IDD_ECOD                              	ID: 1401-4
Name IDD_ECOD_LISTADOK                     	ID: 1402-4
Name IDD_EDI_IMPORT_NORMAL                 	ID: 1406-4
Name IDD_EXPORTPL_CDN                      	ID: 1410-4
Name IDD_EXPORTRV_CDN                      	ID: 1412-4
Name IDD_HB_EXPORT_NORMAL                  	ID: 1414-4
Name IDD_HB_IMPORT_NORMAL                  	ID: 1417-4
Name IDD_IGNOROWANEEANY                    	ID: 1418-4
Name IDD_IMPORT_EDBUD                      	ID: 1419-4
Name IDD_IMPORT_PZXLS                      	ID: 1421-4
Name IDD_IMPORT_STOLCAD                    	ID: 1422-4
Name IDD_KLIENCI_EXPORT                    	ID: 1424-4
Name IDD_LISTAIGNOROWANYCHEANOW            	ID: 1428-4
Name IDD_NAZWATABELI                       	ID: 1429-4
